Detector,x,y,z_avg,z_150GHz,z_90GHz
395,17.020022,-53.139281,1.8715,1.812,1.931
396,14.370022,-48.549346,1.8715,1.812,1.931
397,11.720022,-43.959412,1.8715,1.812,1.931
398,9.070022,-39.369477,1.8715,1.812,1.931
399,6.420022,-34.779542,1.8715,1.812,1.931
400,3.770022,-30.189608,1.8715,1.812,1.931
401,1.120022,-25.599673,1.8715,1.812,1.931
402,-1.529978,-21.009739,1.8715,1.812,1.931
403,-4.179978,-16.419804,1.8715,1.812,1.931
404,-6.829978,-11.829869,1.8715,1.812,1.931
405,-9.479978,-7.239935,1.8715,1.812,1.931
406,-12.129978,-2.65,1.8715,1.812,1.931
407,22.320022,-53.139281,1.8715,1.812,1.931
408,19.670022,-48.549346,1.8715,1.812,1.931
409,17.020022,-43.959412,1.8715,1.812,1.931
410,14.370022,-39.369477,1.8715,1.812,1.931
411,11.720022,-34.779542,1.8715,1.812,1.931
412,9.070022,-30.189608,1.8715,1.812,1.931
413,6.420022,-25.599673,1.8715,1.812,1.931
414,3.770022,-21.009739,1.8715,1.812,1.931
415,1.120022,-16.419804,1.8715,1.812,1.931
416,-1.529978,-11.829869,1.8715,1.812,1.931
417,-4.179978,-7.239935,1.8715,1.812,1.931
418,-6.829978,-2.65,1.8715,1.812,1.931
419,27.620022,-53.139281,1.8715,1.812,1.931
420,24.970022,-48.549346,1.8715,1.812,1.931
421,22.320022,-43.959412,1.8715,1.812,1.931
422,19.670022,-39.369477,1.8715,1.812,1.931
423,17.020022,-34.779542,1.8715,1.812,1.931
424,14.370022,-30.189608,1.8715,1.812,1.931
425,11.720022,-25.599673,1.8715,1.812,1.931
426,9.070022,-21.009739,1.8715,1.812,1.931
427,6.420022,-16.419804,1.8715,1.812,1.931
428,3.770022,-11.829869,1.8715,1.812,1.931
429,1.120022,-7.239935,1.8715,1.812,1.931
430,-1.529978,-2.65,1.8715,1.812,1.931
